time,open,high,low,close,Volume,Volume MA
2018-12-01T00:00:00Z,4041.27,4299.99,3963.01,4190.02,44840.073481,57097.58141395
2018-12-02T00:00:00Z,4190.98,4312.99,4103.04,4161.01,38912.15479,58536.550025100005
2018-12-03T00:00:00Z,4160.55,4179,3827,3884.01,49094.369163,60401.74023660001
2018-12-04T00:00:00Z,3884.76,4085,3781,3951.64,48489.551613,60502.26961710001
2018-12-05T00:00:00Z,3950.98,3970,3745,3769.84,44004.799448,60317.468119450015
2018-12-06T00:00:00Z,3768.44,3899.99,3500,3508.75,68378.796943,61800.31785290003
2018-12-07T00:00:00Z,3508.75,3549.99,3224.6,3403.55,95145.457442,65237.028654350026
2018-12-08T00:00:00Z,3403.57,3495,3222,3410.93,55365.949949,66813.07618445004
2018-12-09T00:00:00Z,3411.36,3658,3394.04,3545.37,45956.893296,65581.87620645003
2018-12-10T00:00:00Z,3548.49,3610,3370.11,3432.88,40989.244553,61762.29085460004
2018-12-11T00:00:00Z,3434.01,3480,3324.32,3380.39,35920.864154,60504.74258855004
2018-12-12T00:00:00Z,3379.23,3492,3350,3445,33922.931286,60474.333195700034
2018-12-13T00:00:00Z,3446.38,3460,3255.5,3302.06,40040.917013,60007.78303025003
2018-12-14T00:00:00Z,3302.06,3335.39,3177,3224.17,44492.983807,59147.77667030003
2018-12-15T00:00:00Z,3225.19,3276.5,3156.26,3211.72,29796.041436,55552.87996270003
2018-12-16T00:00:00Z,3211.71,3294,3186,3228.67,24628.808538,52059.13285125003
2018-12-17T00:00:00Z,3229.22,3585,3216,3509.08,66761.751697,52023.19007550004
2018-12-18T00:00:00Z,3509.03,3678.59,3424.47,3652.98,61369.615257,50492.49244090003
2018-12-19T00:00:00Z,3653,3912.73,3622.55,3662.22,94137.341014,51500.34955815003
2018-12-20T00:00:00Z,3660.01,4120,3635,4049.62,101543.835986,53189.61904330003
2018-12-21T00:00:00Z,4051.86,4139.99,3764,3838.66,82343.850112,55064.807874850034
2018-12-22T00:00:00Z,3840.25,3979,3785,3948.91,42822.350872,55260.31767895003
2018-12-23T00:00:00Z,3948.91,4021.53,3870,3929.71,40117.531529,54811.47579725003
2018-12-24T00:00:00Z,3929.71,4198,3924.83,4008.01,64647.809129,55619.38867305002
2018-12-25T00:00:00Z,4010.11,4020,3646.41,3745.79,62725.629432,56555.430172250024
2018-12-26T00:00:00Z,3745.56,3837.15,3656.74,3777.74,42629.375817,55267.95911595002
2018-12-27T00:00:00Z,3777.74,3813.98,3535,3567.91,44097.392912,52715.55588945001
2018-12-28T00:00:00Z,3567.89,3887.25,3540.04,3839.26,45964.304987,52245.47364135001
2018-12-29T00:00:00Z,3839,3892,3670,3695.32,38874.373903,51891.347671700016
2018-12-30T00:00:00Z,3696.71,3903.5,3657.9,3801.91,33222.369262,51503.003907150014
2018-12-31T00:00:00Z,3803.12,3810,3630.33,3702.9,29991.77835,51206.54961695002
2019-01-01T00:00:00Z,3701.23,3810.16,3642,3797.14,23741.687033,50697.48740430002
2019-01-02T00:00:00Z,3796.45,3882.14,3750.45,3858.56,35156.463369,50453.26472210002
2019-01-03T00:00:00Z,3857.57,3862.74,3730,3766.78,29406.948359,49698.96294970003
2019-01-04T00:00:00Z,3767.2,3823.64,3703.57,3792.01,29519.554671,49685.13861145002
2019-01-05T00:00:00Z,3790.09,3840.99,3751,3770.96,30490.667751,49978.23157210003
2019-01-06T00:00:00Z,3771.12,4027.71,3740,3987.6,36553.806709,48467.83432270003
2019-01-07T00:00:00Z,3987.62,4017.9,3921.53,3975.45,31869.846264,46992.84587305003
2019-01-08T00:00:00Z,3976.76,4069.8,3903,3955.13,38901.423122,44231.04997845003
2019-01-09T00:00:00Z,3955.45,4006.81,3930.04,3966.65,28989.439511,40603.33015470002
2019-01-10T00:00:00Z,3966.06,3996.01,3540,3585.88,59402.22851,39456.249074600026
2019-01-11T00:00:00Z,3585.88,3658,3465,3601.31,38338.654733,39232.06426765003
2019-01-12T00:00:00Z,3601.31,3618.19,3530,3583.13,21999.928354,38326.18410890002
2019-01-13T00:00:00Z,3584.1,3611.1,3441.3,3476.81,26385.757454,36413.081525150024
2019-01-14T00:00:00Z,3477.56,3671.87,3467.02,3626.09,35235.211215,35038.560614300026
2019-01-15T00:00:00Z,3626.08,3648.42,3516.62,3553.06,34137.997459,34613.99169640002
2019-01-16T00:00:00Z,3553.06,3645,3543.51,3591.84,27480.179977,33783.13104965002
2019-01-17T00:00:00Z,3591.84,3634.7,3530.39,3616.21,29755.440838,32972.68784220003
2019-01-18T00:00:00Z,3613.32,3620,3565.75,3594.87,22713.446755,32164.641484800028
2019-01-19T00:00:00Z,3594.87,3720,3594.23,3665.3,22171.578123,31612.101927850028
2019-01-20T00:00:00Z,3665.75,3693.73,3475,3539.28,27901.938598,31507.609940250026
2019-01-21T00:00:00Z,3539.26,3559.51,3475.5,3526.9,19644.436839,31302.74743055002
2019-01-22T00:00:00Z,3526.88,3608.5,3434.85,3570.93,29336.442967,31011.746410450018
2019-01-23T00:00:00Z,3570.41,3607.98,3514.5,3552.82,24938.842698,30788.341127400017
2019-01-24T00:00:00Z,3552.97,3589,3529.22,3569.62,20826.25118,30353.67595285002
2019-01-25T00:00:00Z,3569.07,3587.15,3522.51,3565.29,17608.346671,29709.55989885002
2019-01-26T00:00:00Z,3566.69,3662.94,3545,3565.25,19476.532344,28855.696180600014
2019-01-27T00:00:00Z,3565.62,3579,3486,3550.84,22735.598162,28398.98377550001
2019-01-28T00:00:00Z,3550.05,3557.75,3380.27,3434.15,40405.111401,28474.168189450014
2019-01-29T00:00:00Z,3434,3443.45,3349.92,3411.04,29544.928977,28501.942662750014
2019-01-30T00:00:00Z,3410.04,3478,3387.1,3458.18,23968.260243,26730.24424940002
2019-01-31T00:00:00Z,3457.5,3489.2,3418.8,3434.1,29607.190253,26293.67102540002
2019-02-01T00:00:00Z,3434.1,3488,3401.2,3462.07,25260.476159,26456.69841565002
2019-02-02T00:00:00Z,3462.2,3526.4,3440.29,3504.77,17920.802,26033.45064295002
2019-02-03T00:00:00Z,3504.06,3511.09,3426,3458.11,19867.33639,25265.05690170002
2019-02-04T00:00:00Z,3458.11,3484.88,3433.31,3463.22,23131.981108,24714.75608415002
2019-02-05T00:00:00Z,3463.22,3478.97,3448.43,3471.59,25264.41503,24603.96783680002
2019-02-06T00:00:00Z,3471.57,3482.72,3380,3405.37,35310.244846,24881.70803720002
2019-02-07T00:00:00Z,3407,3426.45,3390,3398.4,18665.538638,24679.31263135002
2019-02-08T00:00:00Z,3398.4,3733.58,3373.1,3659.04,47968.058013,25969.136625850024
2019-02-09T00:00:00Z,3660.27,3680.02,3625.13,3665.18,24759.833719,25812.031381900022
2019-02-10T00:00:00Z,3665.18,3684.99,3609.76,3680.06,23250.602634,25992.33967165002
2019-02-11T00:00:00Z,3679.75,3684.9,3615.53,3631.05,24954.614571,25773.248251850022
2019-02-12T00:00:00Z,3631.05,3667.6,3582.34,3631.46,29479.59823,26000.28602845002
2019-02-13T00:00:00Z,3631.51,3670,3591.75,3609.4,25773.997648,26247.67335185002
2019-02-14T00:00:00Z,3608.34,3626.4,3568.11,3590.56,21753.501261,26454.93108135002
2019-02-15T00:00:00Z,3590.57,3653.23,3573.45,3602.47,20777.872899,26519.99810910002
2019-02-16T00:00:00Z,3602.49,3648.2,3597.91,3618.41,19565.992751,26361.517838550022
2019-02-17T00:00:00Z,3617.22,3700.11,3604.4,3667.58,25690.227779,25625.773657450023
2019-02-18T00:00:00Z,3667.62,3925,3655,3898.6,64042.730492,27350.663733200017
2019-02-19T00:00:00Z,3897.35,3994.52,3856,3907.79,50207.172667,28662.609354400018
2019-02-20T00:00:00Z,3907.35,3986.98,3870.66,3969.74,36205.14085,28992.506884250015
2019-02-21T00:00:00Z,3969.74,4016.48,3901.03,3937.31,31103.884728,29284.67731270002
2019-02-22T00:00:00Z,3937.31,3988,3926.65,3962,23943.16375,29585.795400200015
2019-02-23T00:00:00Z,3962,4162.02,3933.15,4117.76,33657.942883,30275.32572485002
2019-02-24T00:00:00Z,4118,4198,3712.66,3743.56,62224.18689,32229.936013950017
2019-02-25T00:00:00Z,3743.56,3872.66,3740,3827.92,38102.966245,32871.863574700015
2019-02-26T00:00:00Z,3828.44,3841.51,3777,3809.23,28838.748036,32548.288734200014
2019-02-27T00:00:00Z,3809.31,3838.85,3677.17,3818.07,31500.995466,33190.06157560002
2019-02-28T00:00:00Z,3818.04,3888,3763.87,3813.69,32561.961044,32419.756727150012
2019-03-01T00:00:00Z,3814.26,3857,3813.01,3823,23174.57217,32340.493649700016
2019-03-02T00:00:00Z,3822.17,3841.31,3772.25,3819.93,19445.838355,32150.255435750016
2019-03-03T00:00:00Z,3819.97,3835,3781.32,3807.75,16718.16541,31738.432977700017
2019-03-04T00:00:00Z,3807.32,3830,3670.69,3715.3,34742.84166,32001.59514920002
2019-03-05T00:00:00Z,3716.1,3877.1,3703.55,3857.73,32962.536162,32361.022074900022
2019-03-06T00:00:00Z,3857.58,3907,3813.09,3861.84,24775.11883,32512.10295335002
2019-03-07T00:00:00Z,3861.84,3905.4,3840.4,3873.64,26455.257661,32795.972191450026
2019-03-08T00:00:00Z,3873.63,3932,3800,3864.89,34730.366592,33554.19088350002
2019-03-09T00:00:00Z,3864.88,3971.75,3854.75,3943.04,30979.747653,33818.66687720003
2019-03-10T00:00:00Z,3943.43,3943.43,3881.69,3916.82,23187.561412,31775.908423200024
